iter	Passed	Remaining
920	13415	1150
921	13428	1136
922	13444	1121
923	13459	1107
924	13476	1092
925	13493	1078
926	13507	1063
927	13521	1049
928	13535	1034
929	13551	1020
930	13565	1005
931	13580	990
932	13595	976
933	13610	961
934	13624	947
935	13638	932
936	13651	917
937	13665	903
938	13680	888
939	13696	874
940	13710	859
941	13725	845
942	13739	830
943	13753	815
944	13767	801
945	13783	786
946	13797	772
947	13814	757
948	13829	743
949	13844	728
950	13859	714
951	13874	699
952	13889	685
953	13904	670
954	13920	655
955	13935	641
956	13950	626
957	13964	612
958	13979	597
959	13995	583
960	14007	568
961	14023	553
962	14039	539
963	14055	524
964	14069	510
965	14084	495
966	14099	481
967	14113	466
968	14129	452
969	14142	437
970	14157	422
971	14171	408
972	14186	393
973	14201	379
974	14216	364
975	14232	349
976	14248	335
977	14262	320
978	14276	306
979	14292	291
980	14306	277
981	14321	262
982	14337	247
983	14352	233
984	14367	218
985	14382	204
986	14397	189
987	14412	175
988	14428	160
989	14445	145
990	14462	131
991	14477	116
992	14493	102
993	14508	87
994	14524	72
995	14540	58
996	14556	43
997	14570	29
998	14584	14
999	14599	0
